,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
1,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
2,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
3,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
4,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
5,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
6,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
7,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
8,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
9,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
10,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
11,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
12,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
13,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
14,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
15,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
16,0.40,0.40,0.40,0.40,0.40,0.52,0.52,0.52,0.52,0.40,0.40,0.40
17,0.40,0.40,0.40,0.40,0.40,0.52,0.52,0.52,0.52,0.40,0.40,0.40
18,0.40,0.40,0.40,0.40,0.40,0.52,0.52,0.52,0.52,0.40,0.40,0.40
19,0.40,0.40,0.40,0.40,0.40,0.52,0.52,0.52,0.52,0.40,0.40,0.40
20,0.40,0.40,0.40,0.40,0.40,0.52,0.52,0.52,0.52,0.40,0.40,0.40
21,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
22,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
23,0.37,0.37,0.37,0.37,0.37,0.4,0.4,0.4,0.4,0.37,0.37,0.37
