"PVWatts Hourly PV Performance Data"
"Requested Location","368 Cresta Vista Drive, 94127"
"Location","Lat, Lng: 37.73, -122.46"
"Latitude (DD)","37.73"
"Longitude (DD)","-122.46"
"Elevation (m)","120.5"
"DC System Size (kW)","6.9"
"Module Type","Standard"
"Array Type","Fixed (roof mount)"
"Array Tilt (deg)","0"
"Array Azimuth (deg)","180"
"System Losses (%)","6.81"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","8","4.4","0.11","0","8","0","0"
"1","1","1","0","0","8","4.1","0.11","0","8","0","0"
"1","1","2","0","0","7","3.6","0.11","0","7","0","0"
"1","1","3","0","0","7","3.2","0.11","0","7","0","0"
"1","1","4","0","0","7","3.1","0.11","0","7","0","0"
"1","1","5","0","0","7","3.2","0.11","0","7","0","0"
"1","1","6","0","0","7","3.3","0.11","0","7","0","0"
"1","1","7","0","0","8","3.4","0.11","0","0","0","0"
"1","1","8","403","59","9","3.6","0.11","128.097","11.579","683.605","632.033"
"1","1","9","0","16","10","3.9","0.11","16","10.326","95.287","64.562"
"1","1","10","138","181","10","4","0.11","238.521","14.785","1544.148","1462.084"
"1","1","11","847","82","11","4","0.11","485.613","20.787","3174.05","3034.232"
"1","1","12","857","82","11","3.9","0.11","499.882","21.228","3270.784","3127.539"
"1","1","13","222","195","11","3.9","0.11","294.75","17.004","1908.355","1813.386"
"1","1","14","355","134","10","3.8","0.11","263.33","15.421","1684.091","1597.068"
"1","1","15","657","54","9","3.3","0.11","210.707","13.527","1199.835","1129.972"
"1","1","16","338","27","8","2.9","0.11","54.21","9.043","196.362","162.056"
"1","1","17","0","0","8","2.7","0.11","0","8","0","0"
"1","1","18","0","0","8","2.6","0.11","0","8","0","0"
"1","1","19","0","0","8","2.6","0.11","0","8","0","0"
"1","1","20","0","0","8","2.6","0.11","0","8","0","0"
"1","1","21","0","0","8","2.7","0.11","0","8","0","0"
"1","1","22","0","0","8","2.9","0.11","0","8","0","0"
"1","1","23","0","0","8","3.2","0.11","0","8","0","0"
"1","2","0","0","0","8","3.3","0.11","0","8","0","0"
"1","2","1","0","0","8","3.4","0.11","0","8","0","0"
"1","2","2","0","0","8","3.4","0.11","0","8","0","0"
"1","2","3","0","0","8","3.4","0.11","0","8","0","0"
"1","2","4","0","0","8","3.3","0.11","0","8","0","0"
"1","2","5","0","0","8","3.2","0.11","0","8","0","0"
