DATE,USAGE (kWh),TYPE,original_kwh,adjusted_kwh
2025-01-01 00:00:00,1.46,Electric,1.46,1.5439417366637194
2025-01-01 01:00:00,0.95,Electric,0.95,1.0339417366637194
2025-01-01 02:00:00,1.24,Electric,1.24,1.3239417366637194
2025-01-01 03:00:00,1.52,Electric,1.52,1.6039417366637194
2025-01-01 04:00:00,1.4,Electric,1.4,1.4839417366637193
2025-01-01 05:00:00,1.5,Electric,1.5,1.5839417366637194
2025-01-01 06:00:00,1.26,Electric,1.26,1.3439417366637194
2025-01-01 07:00:00,1.0,Electric,1.0,1.0839417366637194
2025-01-01 08:00:00,1.09,Electric,1.09,1.1739417366637195
2025-01-01 09:00:00,1.51,Electric,1.51,1.5939417366637194
2025-01-01 10:00:00,1.39,Electric,1.39,1.4739417366637193
2025-01-01 11:00:00,1.52,Electric,1.52,1.6039417366637194
2025-01-01 12:00:00,0.77,Electric,0.77,0.8539417366637194
2025-01-01 13:00:00,0.8400000000000001,Electric,0.8400000000000001,0.9239417366637195
2025-01-01 14:00:00,0.55,Electric,0.55,0.6339417366637194
2025-01-01 15:00:00,1.54,Electric,1.54,1.6239417366637194
2025-01-01 16:00:00,2.02,Electric,2.02,2.1039417366637196
2025-01-01 17:00:00,2.13,Electric,2.13,2.2139417366637195
2025-01-01 18:00:00,2.37,Electric,2.37,2.4539417366637197
2025-01-01 19:00:00,0.48,Electric,0.48,0.5639417366637194
2025-01-01 20:00:00,0.29000000000000004,Electric,0.29000000000000004,0.3739417366637195
2025-01-01 21:00:00,0.25,Electric,0.25,0.33394173666371946
2025-01-01 22:00:00,0.41,Electric,0.41,0.49394173666371943
2025-01-01 23:00:00,0.75,Electric,0.75,0.8339417366637194
2025-01-02 00:00:00,0.86,Electric,0.86,0.9999028944395324
2025-01-02 01:00:00,1.36,Electric,1.36,1.4999028944395325
2025-01-02 02:00:00,1.06,Electric,1.06,1.1999028944395325
2025-01-02 03:00:00,1.06,Electric,1.06,1.1999028944395325
2025-01-02 04:00:00,1.07,Electric,1.07,1.2099028944395325
2025-01-02 05:00:00,1.12,Electric,1.12,1.2599028944395325
2025-01-02 06:00:00,1.3900000000000001,Electric,1.3900000000000001,1.5299028944395325
2025-01-02 07:00:00,1.3199999999999998,Electric,1.3199999999999998,1.4599028944395323
