timestamp,base_kwh,water_heat_kwh,ev_charge_kwh,total_demand_kwh,generation_kwh,battery_soc_kwh,battery_charge_kwh,battery_discharge_kwh,grid_import_kwh,grid_export_kwh
2025-01-01 00:00:00,1.46,0.0,0.0,1.46,0.0,12.04,0.0,1.46,0.0,0.0
2025-01-01 01:00:00,0.95,0.0,0.0,0.95,0.0,11.09,0.0,0.95,0.0,0.0
2025-01-01 02:00:00,1.24,0.0,0.0,1.24,0.0,9.85,0.0,1.24,0.0,0.0
2025-01-01 03:00:00,1.52,0.0,0.0,1.52,0.0,8.33,0.0,1.52,0.0,0.0
2025-01-01 04:00:00,1.4,0.0,0.0,1.4,0.0,6.93,0.0,1.4,0.0,0.0
2025-01-01 05:00:00,1.5,0.0,0.0,1.5,0.0,5.43,0.0,1.5,0.0,0.0
2025-01-01 06:00:00,1.26,0.0,0.0,1.26,0.0,4.17,0.0,1.26,0.0,0.0
2025-01-01 07:00:00,1.0,0.0,0.0,1.0,0.0,3.17,0.0,1.0,0.0,0.0
2025-01-01 08:00:00,1.09,0.0,0.0,1.09,1.967031,4.047031,0.8770309999999999,0.0,0.0,0.0
2025-01-01 09:00:00,1.51,0.0,0.0,1.51,0.046551,2.583582,0.0,1.463449,0.0,0.0
2025-01-01 10:00:00,1.39,0.0,0.0,1.39,1.920455,3.1140369999999997,0.5304550000000001,0.0,0.0,0.0
2025-01-01 11:00:00,1.52,1.8571692307692311,0.0,3.377169230769231,4.846743999999999,4.583611769230767,1.4695747692307681,0.0,0.0,0.0
2025-01-01 12:00:00,0.77,1.8571692307692311,0.0,2.627169230769231,4.710872,6.667314538461536,2.083702769230769,0.0,0.0,0.0
2025-01-01 13:00:00,0.8400000000000001,1.8571692307692311,0.0,2.697169230769231,2.198774,6.168919307692304,0.0,0.4983952307692312,0.0,0.0
2025-01-01 14:00:00,0.55,0.0,0.0,0.55,2.111025,7.729944307692304,1.561025,0.0,0.0,0.0
2025-01-01 15:00:00,1.54,0.0,0.0,1.54,1.832744,8.022688307692304,0.2927439999999999,0.0,0.0,0.0
2025-01-01 16:00:00,2.02,0.0,0.0,2.02,0.31493,6.317618307692304,0.0,1.70507,0.0,0.0
2025-01-01 17:00:00,2.13,0.0,0.0,2.13,0.0,4.187618307692304,0.0,2.13,0.0,0.0
2025-01-01 18:00:00,2.37,0.0,0.0,2.37,0.0,1.817618307692304,0.0,2.37,0.0,0.0
2025-01-01 19:00:00,0.48,0.0,0.0,0.48,0.0,1.337618307692304,0.0,0.48,0.0,0.0
2025-01-01 20:00:00,0.29,0.0,0.0,0.29,0.0,1.047618307692304,0.0,0.29,0.0,0.0
2025-01-01 21:00:00,0.25,0.0,0.0,0.25,0.0,0.797618307692304,0.0,0.25,0.0,0.0
2025-01-01 22:00:00,0.41,0.0,0.0,0.41,0.0,0.38761830769230404,0.0,0.41,0.0,0.0
2025-01-01 23:00:00,0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.38761830769230404,0.36238169230769596,0.0
2025-01-02 00:00:00,0.86,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.86,0.0
2025-01-02 01:00:00,1.36,0.0,0.0,1.36,0.0,0.0,0.0,0.0,1.36,0.0
2025-01-02 02:00:00,1.06,0.0,0.0,1.06,0.0,0.0,0.0,0.0,1.06,0.0
2025-01-02 03:00:00,1.06,0.0,0.0,1.06,0.0,0.0,0.0,0.0,1.06,0.0
2025-01-02 04:00:00,1.07,0.0,0.0,1.07,0.0,0.0,0.0,0.0,1.07,0.0
2025-01-02 05:00:00,1.12,0.0,0.0,1.12,0.0,0.0,0.0,0.0,1.12,0.0
2025-01-02 06:00:00,1.39,0.0,0.0,1.39,0.0,0.0,0.0,0.0,1.39,0.0
2025-01-02 07:00:00,1.3199999999999998,0.0,0.0,1.3199999999999998,0.0,0.0,0.0,0.0,1.3199999999999998,0.0
2025-01-02 08:00:00,0.56,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.56,0.0
2025-01-02 09:00:00,0.17,0.0,0.0,0.17,0.23748,0.06747999999999998,0.06747999999999998,0.0,0.0,0.0
2025-01-02 10:00:00,0.72,0.0,0.0,0.72,0.124869,0.0,0.0,0.06747999999999998,0.527651,0.0
2025-01-02 11:00:00,0.6499999999999999,0.6190564102564103,0.0,1.2690564102564101,0.891496,0.0,0.0,0.0,0.3775604102564102,0.0
2025-01-02 12:00:00,0.74,0.6190564102564103,0.0,1.3590564102564104,0.629684,0.0,0.0,0.0,0.7293724102564104,0.0
2025-01-02 13:00:00,0.1,0.6190564102564103,0.0,0.7190564102564103,0.9045979999999999,0.18554158974358959,0.18554158974358959,0.0,0.0,0.0
2025-01-02 14:00:00,0.2,0.0,0.0,0.2,0.379685,0.36522658974358957,0.17968499999999998,0.0,0.0,0.0
2025-01-02 15:00:00,0.56,0.0,0.0,0.56,0.37448899999999996,0.17971558974358948,0.0,0.1855110000000001,0.0,0.0
2025-01-02 16:00:00,0.93,0.0,0.0,0.93,0.043142,0.0,0.0,0.17971558974358948,0.7071424102564106,0.0
2025-01-02 17:00:00,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0
2025-01-02 18:00:00,0.8500000000000001,0.0,0.0,0.8500000000000001,0.0,0.0,0.0,0.0,0.8500000000000001,0.0
2025-01-02 19:00:00,0.96,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.96,0.0
2025-01-02 20:00:00,0.6000000000000001,0.0,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.6000000000000001,0.0
