TYPE,DATE,START TIME,END TIME,USAGE (kWh),COST,NOTES
Electric usage,1/1/2025,0:00,0:14,0.21,$0.13,observed
Electric usage,1/1/2025,0:15,0:29,0.63,$0.13,observed
Electric usage,1/1/2025,0:30,0:44,0.23,$0.13,observed
Electric usage,1/1/2025,0:45,0:59,0.39,$0.13,observed
Electric usage,1/1/2025,1:00,1:14,0.39,$0.09,observed
Electric usage,1/1/2025,1:15,1:29,0.12,$0.09,observed
Electric usage,1/1/2025,1:30,1:44,0.41,$0.09,observed
Electric usage,1/1/2025,1:45,1:59,0.03,$0.09,observed
Electric usage,1/1/2025,2:00,2:14,0.4,$0.11,observed
Electric usage,1/1/2025,2:15,2:29,0.41,$0.11,observed
Electric usage,1/1/2025,2:30,2:44,0.12,$0.11,observed
Electric usage,1/1/2025,2:45,2:59,0.31,$0.11,observed
Electric usage,1/1/2025,3:00,3:14,0.52,$0.14,observed
Electric usage,1/1/2025,3:15,3:29,0.19,$0.14,observed
Electric usage,1/1/2025,3:30,3:44,0.27,$0.14,observed
Electric usage,1/1/2025,3:45,3:59,0.54,$0.14,observed
Electric usage,1/1/2025,4:00,4:14,0.19,$0.13,observed
Electric usage,1/1/2025,4:15,4:29,0.31,$0.13,observed
Electric usage,1/1/2025,4:30,4:44,0.46,$0.13,observed
Electric usage,1/1/2025,4:45,4:59,0.44,$0.13,observed
Electric usage,1/1/2025,5:00,5:14,0.18,$0.14,observed
Electric usage,1/1/2025,5:15,5:29,0.44,$0.14,observed
Electric usage,1/1/2025,5:30,5:44,0.62,$0.14,observed
Electric usage,1/1/2025,5:45,5:59,0.26,$0.14,observed
Electric usage,1/1/2025,6:00,6:14,0.27,$0.11,observed
Electric usage,1/1/2025,6:15,6:29,0.39,$0.11,observed
Electric usage,1/1/2025,6:30,6:44,0.12,$0.11,observed
Electric usage,1/1/2025,6:45,6:59,0.48,$0.11,observed
Electric usage,1/1/2025,7:00,7:14,0.07,$0.09,observed
Electric usage,1/1/2025,7:15,7:29,0.38,$0.09,observed
Electric usage,1/1/2025,7:30,7:44,0.48,$0.09,observed
Electric usage,1/1/2025,7:45,7:59,0.07,$0.09,observed
Electric usage,1/1/2025,8:00,8:14,0.46,$0.10,observed
Electric usage,1/1/2025,8:15,8:29,0.04,$0.10,observed
